ani : ['áni', 'aní']
atang : ['átang', 'atáng']
agas : ['ágas', 'agás']
angkak : ['ángkak', 'angkák']
awan : ['awán', 'áwan']
alma : ['álma', 'almá']
anyaya : ['anyáya', 'anyayá', 'anyayà']
apa : ['apá', 'apâ', 'ápa']
agat-at : ['agat-át', 'agát-at']
anak : ['ának', 'anák']
abay : ['ábay', 'abáy']
ayat : ['ayát', 'áyat']
ayamin : ['ayamín', 'ayámin']
alin : ['alín', 'álin']
asok : ['asók', 'ások']
atole : ['átolé', 'atóle']
akala : ['akalà', 'akála']
anay : ['anáy', 'ánay']
ambaw : ['ámbaw', 'ambáw']
andam : ['andám', 'ándam']
agam : ['ágam', 'agám']
aling : ['áling', 'alíng']
atubang : ['atubáng', 'atúbang']
anito : ['ánitó', 'aníto']
alad : ['alád', 'álad']
also : ['also', 'álso']
apag : ['apág', 'ápag']
angkit : ['ángkit', 'angkít']
asoy : ['ásoy', 'asóy']
amis : ['ámis', 'amís']
aryap : ['áryap', 'aryáp']
akis : ['akís', 'ákis']
aka : ['aka', 'áka']
alapaw : ['alapáw', 'alápaw']
alinganga : ['alingangâ', 'alingangá']
abad : ['ábad', 'abád']
angay : ['ángay', 'angáy']
ambolog : ['ambológ', 'ambólog']
anos : ['ános', 'anós']
aro : ['áro', 'arò', 'arô']
akom : ['ákom', 'akóm']
arayat : ['aráyat', 'arayát']
aninaw : ['anínaw', 'anináw']
alpa : ['álpa', 'alpá']
agap : ['ágap', 'agáp']
anila : ['aníla', 'ánilá']
abubot : ['abubót', 'abúbot']
agi : ['agî', 'ági']
ala : ['alá', 'alà', 'ála']
alam : ['alám', 'álam']
anduka : ['anduká', 'andukâ']
agapay : ['agapáy', 'agápay']
ayang : ['ayáng', 'áyang']
arira : ['arirá', 'arirà', 'aríra']
atas : ['atás', 'átas']
alaala : ['alaalá', 'alaála']
apal : ['apál', 'ápal']
awang : ['awáng', 'áwang']
ading : ['áding', 'adíng']
ato : ['atô', 'áto', 'atò', 'ató']
abar : ['ábar', 'abár']
ayro : ['ayró', 'áyro']
asak-asak : ['asák-asák', 'ásak-ásak']
anabo : ['anábo', 'anabó']
ap-ap : ['ap-áp', 'áp-ap']
Agta : ['Agtá', 'Agtâ']
angkat : ['ángkat', 'angkát']
anta : ['ánta', 'antá']
apid : ['ápid', 'apíd']
agaas : ['agaás', 'agáas']
asar : ['asár', 'ásar']
adlay : ['ádlay', 'adláy']
agulo : ['agúlo', 'agulô']
alak : ['alák', 'álak']
abin : ['ábin', 'abín']
aha : ['ahâ', 'ahà', 'áha']
astaka : ['astaká', 'astáka']
abot : ['abót', 'ábot']
apaya : ['apáya', 'apayá']
apu : ['apù', 'apú']
alos : ['álos', 'alós']
ali : ['alí', 'alî', 'áli']
alaga : ['alagá', 'alagà']
agda : ['ágda', 'agdá']
anglas : ['ánglas', 'anglás']
ag-ag : ['ag-ág', 'ág-ag']
agod : ['agód', 'ágod']
adlaw : ['adláw', 'ádlaw']
atun : ['atún', 'átun']
ayos : ['áyos', 'ayós']
ayaw : ['áyaw', 'ayáw']
angol : ['ángol', 'angól']
ayam : ['ayám', 'áyam']
ambol : ['ámbol', 'amból']
alog-alog : ['alóg-alóg', 'álog-álog']
arang : ['aráng', 'árang']
amil : ['amíl', 'ámil']
abuab : ['abuáb', 'abúab']
alidungdong : ['alidúngdong', 'alidungdóng']
asan : ['asán', 'ásan']
alila : ['alilà', 'alíla']
aso : ['asó', 'áso']
asu : ['ásu', 'asù']
antabay : ['antabáy', 'antábay']
ampo : ['ámpo', 'ampò', 'ampô']
alawas : ['alawás', 'aláwas']
agsam : ['ágsam', 'agsám']
ayan : ['ayán', 'áyan']
ati : ['áti', 'atí']
anggo : ['ánggo', 'anggó']
abyog : ['abyóg', 'ábyog']
ahot : ['ahót', 'áhot']
ado : ['adó', 'ádo']
as-as : ['as-ás', 'ás-as']
adiya : ['adíya', 'adiyá']
abli : ['ablí', 'ábli']
asiwa : ['asiwâ', 'asiwà']
amaga : ['amága', 'amagá']
amak : ['ámak', 'amák']
angka : ['angká', 'ángka']
amed : ['ámed', 'améd']
alubaybay : ['alubáybay', 'alubaybáy']
alas : ['alás', 'álas']
ayak : ['áyak', 'ayák']
abog : ['ábog', 'abóg']
alat : ['alát', 'álat']
aneks : ['áneks', 'anéks']
